
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
116) OPCP_PBO    1593.844        0.151              67.763              4.848
117) BLHL_GPS    1579.457        0.150              67.912              1.995
118) TRUE_GPS    1578.621        0.150              68.062              9.132
119) BMHL_PBO    1550.830        0.147              68.209              4.296
120) SIO3_GPS    1541.797        0.146              68.355              1.280
121) REDH_GPS    1537.116        0.146              68.501              6.340
122) ALMO_GPS    1524.751        0.144              68.645              1.934
123) BSRY_PBO    1509.121        0.143              68.788              4.853
124) RAMT_PBO    1507.861        0.143              68.931              4.604
125) CTDM_PBO    1482.910        0.140              69.071              2.393
126) 05WG_GPS    1475.664        0.140              69.211              0.336
127) CCCC_PBO    1468.121        0.139              69.350              4.444
128) OSI2_GPS    1464.573        0.139              69.489              1.975
129) RDMT_PBO    1428.010        0.135              69.624              4.024
130) P560_PBO    1419.725        0.134              69.759              3.440
131) HARV_GPS    1405.939        0.133              69.892              2.633
132) BARR_GPS    1403.858        0.133              70.025              0.723
133) P600_PBO    1400.656        0.133              70.158              5.412
134) ELSE_GPS    1342.245        0.127              70.285              9.403
135) BM1R_GPS    1314.718        0.125              70.409              9.603
136) P300_PBO    1312.516        0.124              70.534              7.340
137) YELL_GPS    1304.859        0.124              70.657              11.911
138) P581_PBO    1296.106        0.123              70.780              3.417
139) LP4__GPS    1272.060        0.121              70.901              10.782
140) TESS_GPS    1264.345        0.120              71.020              0.841
141) UCLU_GPS    1262.369        0.120              71.140              8.178
142) MONP_GPS    1257.457        0.119              71.259              1.389
143) P314_PBO    1244.828        0.118              71.377              13.276
144) LOSP_GPS    1241.636        0.118              71.495              2.366
145) TWIN_GPS    1240.865        0.118              71.612              3.514
146) SNRI_GPS    1230.527        0.117              71.729              3.506
147) AGMT_PBO    1218.925        0.115              71.844              1.332
148) PAWT_GPS    1202.237        0.114              71.958              8.346
149) CENT_GPS    1200.285        0.114              72.072              2.541
150) PBPP_PBO    1183.295        0.112              72.184              2.710
151) COOS_GPS    1173.990        0.111              72.295              19.507
152) BLUF_GPS    1171.525        0.111              72.406              4.284
153) NDDD_GPS    1168.610        0.111              72.517              12.004
154) OPRD_PBO    1166.099        0.110              72.627              1.124
155) P539_PBO    1158.895        0.110              72.737              11.966
156) BLAN_GPS    1155.284        0.109              72.847              3.248
157) LNMT_PBO    1150.086        0.109              72.956              2.671
158) MADC_GPS    1146.385        0.109              73.064              1.889
159) H623_GPS    1122.125        0.106              73.170              3.272
160) P589_PBO    1115.979        0.106              73.276              7.162
161) P401_PBO    1113.685        0.106              73.382              14.770
162) GAVI_GPS    1113.427        0.105              73.487              0.632
163) 0509_GPS    1112.228        0.105              73.593              2.028
164) 77RT_GPS    1108.444        0.105              73.698              7.953
165) BRSH_GPS    1100.000        0.104              73.802              3.322
166) GMPK_PBO    1096.455        0.104              73.906              5.435
167) TRAK_GPS    1089.755        0.103              74.009              1.476
168) AOA1_GPS    1076.355        0.102              74.111              1.766
169) PGN4_GPS    1070.599        0.101              74.212              8.812
170) L623_GPS    1070.417        0.101              74.314              4.212
171) LLCO_GPS    1067.313        0.101              74.415              4.248
172) SPK1_GPS    1053.822        0.100              74.515              1.014
173) P478_PBO    1039.740        0.099              74.613              2.139
174) UCLP_GPS    1031.704        0.098              74.711              0.824
175) PICO_GNR    1031.524        0.098              74.809              1.793
176) GP14_GPS    1031.503        0.098              74.906              14.303
177) CHT3_GPS    1028.157        0.097              75.004              2.233
178) SBIS_GPS    1023.498        0.097              75.101              4.185
179) P533_PBO    1017.520        0.096              75.197              7.574
180) P557_PBO    1015.314        0.096              75.293              4.888
181) 1395_GPS    1001.132        0.095              75.388              10.511
182) SNJO_GPS    993.292        0.094              75.482              10.664
183) SCIP_GPS    991.506        0.094              75.576              3.138
184) SALI_GPS    989.627        0.094              75.670              1.967
185) P247_PBO    986.887        0.093              75.763              1.230
186) TORP_GPS    985.736        0.093              75.857              1.039
187) P175_PBO    985.564        0.093              75.950              1.683
188) ROCH_GLA    984.641        0.093              76.043              6.896
189) P559_PBO    982.811        0.093              76.136              3.295
190) CDMT_PBO    982.079        0.093              76.230              3.330
191) LEEP_GPS    968.563        0.092              76.321              1.938
192) NICC_GPS    964.952        0.091              76.413              12.791
193) POZO_GPS    963.933        0.091              76.504              3.130
194) ROCK_GPS    959.547        0.091              76.595              2.182
195) SJUA_GPS    945.576        0.090              76.685              1.193
196) CIT1_GPS    944.894        0.090              76.774              2.123
197) FORD_GPS    936.329        0.089              76.863              4.580
198) 1202_GPS    930.842        0.088              76.951              0.572
199) P500_PBO    928.771        0.088              77.039              7.302
200) HAUL_GPS    917.903        0.087              77.126              5.437
201) GMRC_PBO    916.645        0.087              77.213              5.142
202) CICE_GPS    914.302        0.087              77.299              1.730
203) USNO_GPS    913.362        0.087              77.386              15.303
204) DANA_GPS    897.056        0.085              77.471              1.632
205) P515_PBO    896.660        0.085              77.556              2.925
206) LPUR_GPS    896.197        0.085              77.641              4.694
207) P496_PBO    885.523        0.084              77.725              1.416
208) GNPS_PBO    884.681        0.084              77.808              4.288
209) POSO_GPS    881.536        0.084              77.892              4.590
210) L589_GPS    875.202        0.083              77.975              2.305
211) OCTI_GPS    872.243        0.083              78.057              1.904
212) CSN1_GPS    870.619        0.082              78.140              1.101
213) P222_PBO    867.032        0.082              78.222              15.176
214) KITE_GPS    863.291        0.082              78.304              1.742
215) ANZA_GLA    856.214        0.081              78.385              4.639
216) P319_PBO    845.974        0.080              78.465              7.432
217) 0504_GPS    835.469        0.079              78.544              2.543
218) 0301_GPS    829.213        0.079              78.623              0.621
219) LOKT_GPS    813.988        0.077              78.700              6.956
220) LAMO_GPS    808.832        0.077              78.777              3.207
221) ALGO_GPS    803.869        0.076              78.853              9.133
222) CMP9_GPS    801.359        0.076              78.929              1.239
223) OAKD_GPS    799.582        0.076              79.004              1.275
224) SD21_GPS    799.567        0.076              79.080              0.705
225) P280_PBO    798.177        0.076              79.156              4.125
226) OXCO_GPS    797.619        0.076              79.231              2.664
227) 1106_GPS    796.394        0.075              79.307              0.975
228) P501_PBO    794.545        0.075              79.382              5.848
229) SCMS_GPS    794.431        0.075              79.457              2.095
230) GILR_GPS    792.282        0.075              79.532              11.516
231) NBPS_PBO    785.760        0.074              79.607              4.819
232) MCDS_GPS    783.791        0.074              79.681              2.539
233) P198_PBO    775.723        0.073              79.754              12.766
234) SDG6_GPS    770.612        0.073              79.828              1.051
235) IVCO_PBO    770.286        0.073              79.900              6.243
236) PMOB_GPS    767.635        0.073              79.973              1.534
237) 0819_GPS    766.953        0.073              80.046              1.612
238) NESK_GPS    760.749        0.072              80.118              8.507
239) P302_PBO    755.091        0.072              80.189              5.375
240) CAAA_GPS    754.413        0.071              80.261              14.619
241) YUNG_GPS    753.180        0.071              80.332              1.004
242) SPMX_GPS    752.504        0.071              80.404              4.931
243) SOLJ_GPS    750.955        0.071              80.475              0.346
244) ALVA_GPS    747.364        0.071              80.546              2.274
245) RUS1_GPS    746.603        0.071              80.616              3.104
246) CANN_GPS    738.844        0.070              80.686              8.101
247) CRAV_GPS    734.201        0.070              80.756              4.055
248) PEEE_GPS    732.348        0.069              80.825              9.869
249) MUNS_GPS    727.604        0.069              80.894              1.405
250) P189_PBO    723.117        0.069              80.963              15.728
251) 1110_GPS    719.675        0.068              81.031              12.247
252) JOES_GPS    715.018        0.068              81.099              7.702
253) P190_PBO    714.224        0.068              81.166              11.131
254) 1109_GPS    712.960        0.068              81.234              3.839
255) T3R2_GPS    712.423        0.067              81.301              11.052
256) BRMU_GPS    711.598        0.067              81.369              18.588
257) 1107_GPS    708.703        0.067              81.436              1.612
258) COY__GPS    704.737        0.067              81.503              15.053
259) P526_PBO    702.006        0.067              81.569              2.033
260) GRAY_GPS    700.349        0.066              81.635              11.279
261) P567_PBO    698.949        0.066              81.702              4.540
262) HNPS_PBO    697.826        0.066              81.768              5.001
263) HOWY_GPS    691.234        0.065              81.833              3.670
264) P301_PBO    691.179        0.065              81.899              3.855
265) SCAZ_GPS    690.393        0.065              81.964              2.874
266) OP25_GPS    689.587        0.065              82.029              10.115
267) CCCS_GPS    682.454        0.065              82.094              2.280
268) ANA1_PBO    681.965        0.065              82.159              5.157
269) LOMA_GPS    680.461        0.064              82.223              11.793
270) BEAR_GPS    679.671        0.064              82.288              17.766
271) PVHS_GPS    676.710        0.064              82.352              0.346
272) CRO3_GPS    675.251        0.064              82.416              2.867
273) COLL_GPS    666.548        0.063              82.479              6.882
274) SD18_GPS    666.228        0.063              82.542              0.872
275) P504_PBO    666.017        0.063              82.605              8.822
276) P514_PBO    664.850        0.063              82.668              1.791
277) PF1__GPS    664.372        0.063              82.731              9.597
278) 1108_GPS    664.212        0.063              82.794              1.024
279) MAZZ_GPS    658.060        0.062              82.856              14.997
280) DASH_GPS    656.182        0.062              82.918              2.620
281) MVFD_GPS    651.563        0.062              82.980              2.019
282) SAN1_GLA    648.775        0.061              83.042              1.728
283) A16N_GPS    647.719        0.061              83.103              8.415
284) CARY_GPS    646.520        0.061              83.164              3.749
285) TBLM_GPS    646.364        0.061              83.225              5.378
286) P225_PBO    644.385        0.061              83.286              8.170
287) ASBS_GPS    642.144        0.061              83.347              9.682
288) P556_PBO    641.823        0.061              83.408              4.556
289) P507_PBO    637.577        0.060              83.468              15.891
290) GRSH_GPS    631.415        0.060              83.528              11.509
291) P183_PBO    630.124        0.060              83.588              11.465
292) OPCL_PBO    628.347        0.060              83.647              1.590
293) 1101_GPS    628.218        0.060              83.707              0.298
294) SUTB_GPS    628.182        0.060              83.767              4.883
