
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
521) P535_PBO    266.176        0.025              92.754              3.175
522) ODAM_GPS    264.527        0.025              92.779              8.400
523) RAIL_BVU    262.632        0.025              92.804              11.961
524) P554_PBO    261.929        0.025              92.828              3.458
525) HEAD_GPS    261.380        0.025              92.853              10.259
526) SANS_GPS    260.397        0.025              92.878              2.986
527) P268_PBO    259.514        0.025              92.902              7.262
528) HELE_GPS    259.195        0.025              92.927              2.903
529) CHAS_GPS    256.771        0.024              92.951              3.381
530) P75Z_GPS    256.560        0.024              92.976              5.032
531) BERD_GPS    254.887        0.024              93.000              8.917
532) 0821_GPS    254.536        0.024              93.024              8.133
533) SHER_GPS    253.086        0.024              93.048              9.649
534) OSR1_GPS    252.510        0.024              93.072              4.641
535) Z478_GPS    252.267        0.024              93.096              4.732
536) 25SE_GPS    250.420        0.024              93.119              9.269
537) YALE_GPS    249.533        0.024              93.143              2.163
538) SAGE_GPS    248.341        0.024              93.167              5.072
539) SHLD_GPS    248.175        0.024              93.190              3.141
540) RPT1_GPS    245.591        0.023              93.213              2.607
541) P549_PBO    245.172        0.023              93.237              5.483
542) P197_PBO    244.938        0.023              93.260              15.784
543) DOTT_GPS    243.260        0.023              93.283              4.371
544) P224_PBO    243.068        0.023              93.306              9.609
545) PACH_GPS    242.563        0.023              93.329              7.215
546) VNPS_GPS    240.159        0.023              93.352              5.198
547) T138_GPS    239.750        0.023              93.374              7.504
548) P511_PBO    239.733        0.023              93.397              5.625
549) P807_GPS    238.498        0.023              93.420              4.107
550) P540_PBO    238.053        0.023              93.442              6.114
551) FLRN_GPS    237.628        0.023              93.465              3.812
552) TONO_GPS    237.497        0.022              93.487              4.314
553) BATT_GPS    235.915        0.022              93.510              2.820
554) P376_PBO    235.732        0.022              93.532              3.161
555) ALTA_GPS    233.957        0.022              93.554              1.871
556) SARE_GPS    233.743        0.022              93.576              4.463
557) GARL_GPS    233.595        0.022              93.598              3.745
558) GARY_GPS    232.053        0.022              93.620              3.243
559) AC63_PBO    231.744        0.022              93.642              8.507
560) P187_PBO    231.553        0.022              93.664              12.984
561) SOOS_GPS    231.462        0.022              93.686              8.310
562) HOWE_GPS    230.899        0.022              93.708              3.343
563) P056_PBO    229.559        0.022              93.730              7.049
564) SOAM_GPS    229.361        0.022              93.751              4.266
565) P242_PBO    229.011        0.022              93.773              12.499
566) VORO_GPS    227.979        0.022              93.795              7.714
567) P403_PBO    226.875        0.021              93.816              12.731
568) FARW_GPS    226.869        0.021              93.838              4.892
569) GP35_GPS    226.417        0.021              93.859              6.605
570) CEDC_GPS    226.201        0.021              93.881              6.067
571) 05UH_GPS    226.169        0.021              93.902              3.084
572) ASA1_GPS    222.829        0.021              93.923              7.041
573) P160_PBO    222.414        0.021              93.944              10.895
574) CHLO_GLA    221.767        0.021              93.965              4.984
575) FIBR_GPS    220.194        0.021              93.986              3.523
576) DVPB_GPS    219.930        0.021              94.007              6.689
577) E141_GPS    219.571        0.021              94.028              5.858
578) M504_GPS    218.803        0.021              94.048              3.848
579) MA_A_GPS    217.055        0.021              94.069              14.618
580) JAST_GPS    215.901        0.020              94.089              5.374
581) HORS_GPS    215.480        0.020              94.110              3.218
582) P060_PBO    214.396        0.020              94.130              1.770
583) P058_PBO    213.043        0.020              94.150              10.020
584) SNPR_GPS    209.730        0.020              94.170              13.408
585) P505_PBO    209.495        0.020              94.190              10.167
586) P252_PBO    208.932        0.020              94.210              3.565
587) P192_PBO    208.661        0.020              94.230              8.185
588) STRI_GLA    208.537        0.020              94.249              5.218
589) CHER_GLA    208.505        0.020              94.269              6.239
590) P229_GPS    206.975        0.020              94.289              18.684
591) ATW2_PBO    206.112        0.020              94.308              14.285
592) WSLR_GPS    205.320        0.019              94.328              3.161
593) BLAB_GPS    205.210        0.019              94.347              2.429
594) BUST_GLA    204.679        0.019              94.367              5.190
595) P716_PBO    203.924        0.019              94.386              12.900
596) HP16_GPS    203.766        0.019              94.405              1.868
597) P157_PBO    202.803        0.019              94.424              17.406
598) P543_PBO    202.704        0.019              94.444              1.471
599) FOUR_GPS    202.693        0.019              94.463              5.423
600) S_31_GPS    202.446        0.019              94.482              10.345
601) M746_GPS    201.986        0.019              94.501              8.518
602) BIGC_GPS    200.846        0.019              94.520              4.717
603) JOHN_GLA    200.828        0.019              94.539              5.504
604) 07NE_GPS    200.502        0.019              94.558              9.295
605) POIN_GLA    200.174        0.019              94.577              5.552
606) LITT_GLA    199.673        0.019              94.596              5.422
607) P546_PBO    199.620        0.019              94.615              4.530
608) TRIA_GPS    198.190        0.019              94.634              4.810
609) DUNP_GPS    197.675        0.019              94.653              5.418
610) OAKR_GPS    196.734        0.019              94.671              1.806
611) KLAS_GPS    195.983        0.019              94.690              6.559
612) GOUD_GPS    195.980        0.019              94.708              0.316
613) P168_PBO    195.459        0.019              94.727              5.963
614) STEA_GPS    194.412        0.018              94.745              0.650
615) NTKA_GPS    194.307        0.018              94.764              6.608
616) P506_PBO    193.596        0.018              94.782              8.118
617) P623_PBO    193.398        0.018              94.800              5.212
618) P687_PBO    193.080        0.018              94.819              4.077
619) HP14_GPS    192.765        0.018              94.837              2.153
620) YAMB_GPS    192.498        0.018              94.855              3.719
621) TIGR_GPS    192.001        0.018              94.873              2.526
622) SKUL_GLA    191.803        0.018              94.891              5.327
623) 04GG_GPS    191.519        0.018              94.910              8.236
624) OKAY_GPS    190.475        0.018              94.928              3.541
625) U727_GPS    190.373        0.018              94.946              5.360
626) GREY_GPS    190.356        0.018              94.964              5.976
627) GORD_GPS    189.974        0.018              94.982              3.542
628) ELIZ_GPS    188.051        0.018              94.999              6.329
629) MERC_GLA    188.008        0.018              95.017              5.609
630) P430_PBO    187.772        0.018              95.035              5.094
631) DALL_GPS    187.567        0.018              95.053              2.341
632) JUST_GPS    186.328        0.018              95.071              0.157
633) HAND_GPS    185.812        0.018              95.088              4.995
634) 05WF_GPS    184.512        0.017              95.106              16.046
635) 01NE_GPS    183.612        0.017              95.123              4.734
636) HP21_GPS    180.430        0.017              95.140              3.519
637) CUTT_GPS    176.563        0.017              95.157              0.846
638) CPEI_GPS    176.505        0.017              95.174              7.330
639) P326_PBO    175.949        0.017              95.190              0.846
640) POIR_GPS    175.148        0.017              95.207              2.120
641) I40A_PBO    175.040        0.017              95.223              4.951
642) P304_PBO    175.032        0.017              95.240              4.754
643) WICK_GPS    173.795        0.016              95.256              2.110
644) SMYC_GLA    173.499        0.016              95.273              5.372
645) DRAO_GPS    172.537        0.016              95.289              3.650
646) FRDC_GPS    171.907        0.016              95.305              8.413
647) TURK_GPS    171.613        0.016              95.322              3.235
648) A250_GPS    171.438        0.016              95.338              5.603
649) STAD_GPS    171.310        0.016              95.354              13.796
650) P227_PBO    171.186        0.016              95.370              5.100
651) IMP0_GPS    171.154        0.016              95.387              3.500
652) GORR_GPS    170.837        0.016              95.403              3.532
653) HOLB_GPS    170.436        0.016              95.419              5.698
654) SIPH_GPS    169.740        0.016              95.435              8.943
655) ASTO_GPS    169.685        0.016              95.451              7.477
656) DEAL_GPS    169.195        0.016              95.467              8.684
657) PIER_GPS    168.567        0.016              95.483              6.790
658) ICEB_GPS    168.042        0.016              95.499              3.595
659) STAC_GPS    167.193        0.016              95.515              13.123
660) GS02_GPS    166.915        0.016              95.531              5.782
661) LINH_GPS    166.867        0.016              95.547              2.703
662) P345_PBO    166.591        0.016              95.562              3.733
663) PGC4_GPS    166.536        0.016              95.578              3.623
664) P260_PBO    165.061        0.016              95.594              4.236
665) EASN_GPS    164.861        0.016              95.609              3.400
666) 05YF_GPS    163.838        0.016              95.625              5.548
667) LDSW_PBO    163.708        0.016              95.640              4.181
668) V209_GPS    163.357        0.015              95.656              2.610
669) BEAV_GPS    163.110        0.015              95.671              1.379
670) VIDA_GPS    163.032        0.015              95.687              3.007
671) BEAV_GPS    163.001        0.015              95.702              1.380
672) RATT_GPS    162.846        0.015              95.718              4.476
673) MODB_1PS    159.338        0.015              95.733              3.482
674) AC59_PBO    159.267        0.015              95.748              15.521
675) JOBE_GPS    159.188        0.015              95.763              3.339
676) 43JD_GPS    158.876        0.015              95.778              2.827
677) 01RE_GPS    158.343        0.015              95.793              1.345
678) UU83_GPS    157.786        0.015              95.808              4.545
679) N274_GPS    157.194        0.015              95.823              5.837
680) SNDR_GPS    155.963        0.015              95.838              3.600
681) P349_PBO    155.825        0.015              95.852              3.141
682) P439_PBO    155.560        0.015              95.867              3.190
683) ARLI_GPS    154.823        0.015              95.882              2.747
684) A210_GPS    154.674        0.015              95.896              5.966
685) LANG_GPS    154.623        0.015              95.911              3.683
686) ANAW_GPS    153.720        0.015              95.926              6.042
687) NESM_GPS    153.033        0.014              95.940              4.168
688) CW07_GPS    152.917        0.014              95.955              9.219
689) EARL_GPS    151.735        0.014              95.969              2.470
690) DAVI_GPS    151.277        0.014              95.983              2.961
691) MILL_GPS    150.495        0.014              95.998              2.849
692) SHEP_GPS    149.998        0.014              96.012              2.937
693) P571_PBO    147.810        0.014              96.026              4.541
694) ORIE_GPS    147.763        0.014              96.040              7.788
695) BAMF_GPS    147.576        0.014              96.054              7.610
696) P421_PBO    146.471        0.014              96.068              5.885
697) P307_PBO    146.154        0.014              96.081              6.773
698) 01PA_GPS    145.982        0.014              96.095              13.749
699) SPA1_GPS    144.930        0.014              96.109              9.123
700) P371_PBO    144.452        0.014              96.123              2.469
701) P565_PBO    144.396        0.014              96.136              7.150
702) APEX_GLA    144.292        0.014              96.150              4.732
703) P417_PBO    143.431        0.014              96.164              4.541
704) MINE_GPS    143.410        0.014              96.177              3.839
705) P026_PBO    142.592        0.014              96.191              4.780
706) P034_PBO    141.519        0.013              96.204              3.572
707) GABB_GPS    141.505        0.013              96.218              4.036
708) PENA_GPS    141.027        0.013              96.231              8.129
709) ELKR_GPS    139.591        0.013              96.244              3.424
710) RSPG_GPS    136.752        0.013              96.257              4.879
711) P395_PBO    135.784        0.013              96.270              7.538
712) P309_PBO    135.603        0.013              96.283              3.314
713) PTS5_GPS    135.591        0.013              96.296              3.926
714) ROG2_GPS    135.454        0.013              96.308              8.903
715) HIL4_GPS    135.429        0.013              96.321              14.776
716) P182_PBO    135.037        0.013              96.334              14.024
717) P408_PBO    134.390        0.013              96.347              4.957
718) P450_PBO    133.098        0.013              96.359              3.193
719) KOPR_GPS    131.616        0.012              96.372              8.122
720) P332_PBO    131.546        0.012              96.384              2.108
721) P127_PBO    131.516        0.012              96.397              3.751
722) RUST_GPS    131.465        0.012              96.409              0.546
723) P313_PBO    131.077        0.012              96.422              13.161
724) MEDA_GPS    130.982        0.012              96.434              4.065
725) RUBY_GPS    130.739        0.012              96.446              3.989
726) P595_PBO    129.707        0.012              96.459              2.193
727) FARO_GPS    129.604        0.012              96.471              1.331
728) P166_PBO    129.116        0.012              96.483              6.854
729) BRYN_GPS    128.615        0.012              96.495              3.855
730) AVRY_GPS    128.152        0.012              96.508              7.242
731) PT65_GLA    127.842        0.012              96.520              8.686
732) MONI_GPS    127.550        0.012              96.532              4.296
733) B197_GPS    127.102        0.012              96.544              3.657
734) PTAN_GPS    126.520        0.012              96.556              3.949
735) P226_PBO    126.093        0.012              96.568              14.895
736) GLAC_GPS    124.978        0.012              96.580              5.278
737) THUN_GPS    124.923        0.012              96.591              2.923
738) P072_PBO    124.438        0.012              96.603              4.000
739) TAR0_GPS    124.354        0.012              96.615              6.064
740) BCOV_GPS    124.260        0.012              96.627              4.500
741) 0817_GPS    123.968        0.012              96.639              7.610
742) ELKO_GPS    122.097        0.012              96.650              4.436
743) DBL1_GPS    121.854        0.012              96.662              5.468
744) P167_PBO    121.514        0.012              96.673              5.628
745) P044_PBO    118.545        0.011              96.684              2.917
746) BCHR_GPS    118.316        0.011              96.696              5.136
747) PTAL_GPS    118.193        0.011              96.707              4.312
748) ALAM_GPS    117.774        0.011              96.718              4.285
749) BLAC_GLA    117.331        0.011              96.729              7.897
750) P196_PBO    116.725        0.011              96.740              14.174
751) RAIN_GPS    115.688        0.011              96.751              5.276
752) KOD5_PBO    115.647        0.011              96.762              11.570
753) JUNI_GPS    115.588        0.011              96.773              2.709
754) CVR3_GPS    115.366        0.011              96.784              4.851
755) SATS_GPS    115.081        0.011              96.795              5.489
756) GS22_GPS    114.417        0.011              96.806              5.420
757) 02SS_GPS    114.228        0.011              96.816              5.220
758) POWE_GPS    114.197        0.011              96.827              3.499
759) 0617_GPS    113.929        0.011              96.838              4.632
760) WORD_GPS    113.922        0.011              96.849              3.822
761) SARD_GPS    113.625        0.011              96.860              3.434
762) CSTL_GPS    113.461        0.011              96.870              3.359
763) R378_GPS    113.395        0.011              96.881              3.351
764) PRES_GPS    113.308        0.011              96.892              3.159
765) P622_PBO    112.331        0.011              96.903              5.428
766) 1113_GPS    111.937        0.011              96.913              10.050
767) LEWG_GPS    111.772        0.011              96.924              2.654
768) POCA_GPS    111.731        0.011              96.934              2.656
769) P445_PBO    111.444        0.011              96.945              2.746
770) STOL_GPS    110.421        0.010              96.955              1.929
771) FRAZ_GPS    110.272        0.010              96.966              6.856
772) P121_PBO    110.039        0.010              96.976              3.629
773) P095_PBO    109.174        0.010              96.987              3.191
774) W072_GPS    108.546        0.010              96.997              3.437
775) B741_GPS    107.811        0.010              97.007              1.897
776) AB51_PBO    107.379        0.010              97.017              5.010
777) P626_PBO    106.977        0.010              97.027              5.315
778) 0221_GPS    106.653        0.010              97.037              3.213
779) 1111_GPS    106.565        0.010              97.048              9.619
780) PORT_GPS    106.515        0.010              97.058              5.016
781) P161_PBO    106.498        0.010              97.068              13.468
782) NEWS_GPS    106.375        0.010              97.078              4.574
783) P621_PBO    105.565        0.010              97.088              5.193
784) PRIN_GPS    105.238        0.010              97.098              1.457
785) AB50_PBO    104.985        0.010              97.108              7.326
786) SC03_PBO    104.916        0.010              97.118              5.708
787) SNDS_GPS    104.796        0.010              97.128              4.526
788) LOLA_GPS    104.690        0.010              97.137              4.461
789) PIBU_GPS    104.669        0.010              97.147              2.743
790) OYST_GPS    104.569        0.010              97.157              4.112
791) GABR_GPS    104.547        0.010              97.167              3.314
792) ASH0_GPS    104.266        0.010              97.177              2.474
793) TOBY_GPS    104.182        0.010              97.187              2.914
794) B200_GPS    104.069        0.010              97.197              3.185
795) SECH_GPS    104.017        0.010              97.207              2.169
796) MOAK_GPS    103.257        0.010              97.216              5.137
797) GLOC_GPS    103.257        0.010              97.226              9.303
798) P042_PBO    103.213        0.010              97.236              3.244
799) PTHY_GPS    103.122        0.010              97.246              2.665
800) J090_GPS    102.889        0.010              97.256              2.935
801) AZAL_GPS    102.859        0.010              97.265              2.006
802) P369_PBO    102.790        0.010              97.275              3.174
803) P558_PBO    102.473        0.010              97.285              4.402
804) P265_PBO    102.333        0.010              97.294              2.393
805) JUNC_GPS    102.156        0.010              97.304              2.965
806) FILB_GPS    101.818        0.010              97.314              4.550
807) P057_PBO    101.698        0.010              97.323              3.263
808) P338_PBO    101.385        0.010              97.333              2.904
809) PLUD_GPS    101.200        0.010              97.343              4.024
810) P711_PBO    101.145        0.010              97.352              9.694
811) 1468_GPS    100.580        0.010              97.362              15.240
812) ESTA_GPS    100.558        0.010              97.371              1.826
813) SDRO_GPS    100.288        0.010              97.381              2.385
814) DARL_GPS    99.273        0.009              97.390              2.154
815) 0108_GPS    98.902        0.009              97.399              0.569
816) COXI_GPS    97.994        0.009              97.409              7.256
817) BLW2_PBO    97.738        0.009              97.418              2.955
818) NACH_GPS    97.718        0.009              97.427              3.530
819) JACK_GPS    97.709        0.009              97.437              4.539
820) P003_PBO    97.631        0.009              97.446              6.831
821) P618_PBO    97.564        0.009              97.455              5.683
822) BRWV_GPS    97.326        0.009              97.464              4.230
823) SLR1_GPS    97.253        0.009              97.473              3.192
824) B059_GPS    97.140        0.009              97.483              2.716
825) V546_GPS    96.914        0.009              97.492              0.529
826) 0226_GPS    96.543        0.009              97.501              3.408
827) HP26_GPS    96.483        0.009              97.510              3.405
828) F751_GPS    96.458        0.009              97.519              7.820
829) ALCC_GPS    96.336        0.009              97.528              4.645
830) P122_PBO    96.292        0.009              97.538              3.040
831) WEED_GPS    95.773        0.009              97.547              3.128
832) P317_PBO    95.624        0.009              97.556              8.603
833) DELI_GPS    95.271        0.009              97.565              2.287
834) A275_GPS    95.044        0.009              97.574              2.935
835) USG7_GPS    94.661        0.009              97.583              4.099
836) HORU_GPS    94.364        0.009              97.592              6.349
837) 0410_GPS    94.312        0.009              97.601              9.794
838) P145_PBO    94.277        0.009              97.609              3.060
839) CROC_GPS    94.187        0.009              97.618              8.506
840) LESL_GPS    93.664        0.009              97.627              3.200
841) SCAR_GPS    93.480        0.009              97.636              6.553
842) P318_PBO    93.434        0.009              97.645              8.358
843) KINW_GPS    93.207        0.009              97.654              4.436
844) JHRT_GPS    92.616        0.009              97.663              3.930
845) P601_PBO    92.422        0.009              97.671              4.229
846) P551_PBO    92.330        0.009              97.680              4.115
847) B220_GPS    92.141        0.009              97.689              5.320
848) COAC_GPS    91.994        0.009              97.697              7.831
849) MCAR_GPS    91.974        0.009              97.706              7.469
850) SDNY_GPS    91.601        0.009              97.715              4.759
851) LSII_GPS    91.500        0.009              97.724              3.686
852) TOKE_GPS    91.420        0.009              97.732              1.991
853) 1582_GPS    91.414        0.009              97.741              8.474
854) SPAT_GPS    91.088        0.009              97.750              5.578
855) P409_PBO    91.002        0.009              97.758              5.093
856) H217_GPS    90.831        0.009              97.767              1.731
857) SPIC_PBO    90.469        0.009              97.775              1.342
858) Z264_GPS    88.576        0.008              97.784              3.742
859) AC27_PBO    88.233        0.008              97.792              13.861
860) SCHO_GPS    88.153        0.008              97.800              4.791
861) PETE_GPS    87.725        0.008              97.809              3.330
862) GP29_GPS    87.028        0.008              97.817              3.137
863) LIZZ_GPS    86.745        0.008              97.825              2.330
864) STRA_GPS    86.734        0.008              97.833              3.490
865) FARV_GPS    86.588        0.008              97.842              1.586
866) MENZ_GPS    86.514        0.008              97.850              2.802
867) FOOT_GPS    86.039        0.008              97.858              3.277
868) D300_GPS    85.817        0.008              97.866              5.589
869) P273_PBO    85.750        0.008              97.874              3.514
870) P427_PBO    85.748        0.008              97.882              2.587
871) STEV_GPS    85.266        0.008              97.890              2.303
872) P607_PBO    85.230        0.008              97.898              6.425
873) HUSG_GPS    85.220        0.008              97.907              2.169
874) HHTT_GPS    84.875        0.008              97.915              5.167
875) P452_PBO    84.225        0.008              97.923              4.350
876) 0047_GPS    84.206        0.008              97.931              4.225
877) P272_PBO    84.202        0.008              97.939              5.339
878) 0047_GPS    84.165        0.008              97.946              4.223
879) P420_PBO    83.576        0.008              97.954              3.418
880) D639_GPS    83.486        0.008              97.962              2.627
881) P163_PBO    82.996        0.008              97.970              14.429
882) P599_PBO    82.176        0.008              97.978              3.347
883) AC45_PBO    82.056        0.008              97.986              14.006
884) 01XD_GPS    82.053        0.008              97.994              5.322
885) WILS_GPS    81.866        0.008              98.001              3.608
886) T758_GPS    81.835        0.008              98.009              4.628
887) TWIN_GPS    81.736        0.008              98.017              3.907
888) BX46_GPS    81.644        0.008              98.025              3.202
889) 0609_GPS    81.483        0.008              98.032              5.874
890) TRN1_GPS    80.656        0.008              98.040              0.640
891) P270_PBO    80.066        0.008              98.047              2.771
892) H130_GPS    80.005        0.008              98.055              6.345
893) AGGI_GPS    80.001        0.008              98.063              3.405
894) MN54_GPS    79.882        0.008              98.070              3.829
895) HARD_GPS    79.507        0.008              98.078              3.974
896) ITER_GPS    79.306        0.008              98.085              6.922
897) 01QF_GPS    78.872        0.007              98.093              1.964
898) SUMT_GPS    78.533        0.007              98.100              3.380
899) L229_GPS    78.448        0.007              98.108              22.569
900) POST_GPS    78.213        0.007              98.115              2.453
901) Y683_GPS    77.881        0.007              98.122              4.523
902) 1882_GPS    77.777        0.007              98.130              2.349
903) F279_GPS    77.639        0.007              98.137              3.900
904) AB07_PBO    77.610        0.007              98.144              2.851
905) JUNC_GPS    77.147        0.007              98.152              6.709
906) P015_PBO    77.069        0.007              98.159              4.260
907) S389_GPS    77.019        0.007              98.166              3.474
908) BLCK_GPS    76.859        0.007              98.174              0.713
909) SOAP_GPS    76.808        0.007              98.181              5.552
910) SPIL_GPS    75.736        0.007              98.188              2.358
911) P373_PBO    75.699        0.007              98.195              2.983
912) P038_PBO    75.660        0.007              98.202              4.210
913) GP17_GPS    75.526        0.007              98.210              2.804
914) MONT_GPS    75.273        0.007              98.217              8.275
915) P156_PBO    74.945        0.007              98.224              11.345
916) T739_GPS    74.854        0.007              98.231              2.741
917) PROS_GPS    74.797        0.007              98.238              0.246
918) MCOY_GPS    74.674        0.007              98.245              4.237
919) P324_PBO    74.608        0.007              98.252              6.961
920) P262_PBO    74.175        0.007              98.259              6.713
921) A545_GPS    73.914        0.007              98.266              2.275
922) ATHE_GPS    73.875        0.007              98.273              3.994
923) EGAN_GPS    73.799        0.007              98.280              3.994
924) CRES_GPS    73.623        0.007              98.287              1.537
925) HUSB_GPS    73.136        0.007              98.294              5.493
926) HCRO_PBO    73.044        0.007              98.301              3.709
927) BUFF_GPS    72.682        0.007              98.308              3.942
928) EDDY_GPS    72.601        0.007              98.315              6.630
929) C200_GPS    72.503        0.007              98.322              5.139
930) MESA_GPS    72.472        0.007              98.328              3.139
931) P453_PBO    72.082        0.007              98.335              4.262
932) RKPT_GPS    72.012        0.007              98.342              1.219
933) CBL1_GPS    72.003        0.007              98.349              2.803
934) A290_GPS    71.574        0.007              98.356              1.171
935) JTRE_GPS    71.125        0.007              98.362              7.445
936) B210_GPS    70.963        0.007              98.369              3.810
937) LOWE_GPS    70.878        0.007              98.376              4.801
938) BRAE_GPS    70.810        0.007              98.383              4.364
939) EZEL_GPS    70.757        0.007              98.389              3.309
940) P515_GPS    70.117        0.007              98.396              4.320
941) Y502_GPS    69.995        0.007              98.403              2.869
942) BLYT_GPS    69.902        0.007              98.409              5.732
943) P579_PBO    69.520        0.007              98.416              3.748
944) TRGO_GPS    69.221        0.007              98.422              5.628
945) D200_GPS    68.931        0.007              98.429              4.550
946) ARLO_GPS    68.832        0.007              98.435              2.106
947) C715_GPS    68.772        0.007              98.442              5.092
948) JENS_GPS    68.395        0.006              98.448              4.896
949) KING_GPS    68.335        0.006              98.455              5.758
950) AIRP_GPS    68.303        0.006              98.461              3.891
951) Q837_GPS    68.063        0.006              98.468              5.161
952) TIMB_GPS    67.781        0.006              98.474              3.060
953) INYO_GPS    67.763        0.006              98.481              5.143
954) DESO_GPS    67.728        0.006              98.487              7.349
955) BAMO_GPS    67.160        0.006              98.493              3.669
956) LOPE_GPS    66.977        0.006              98.500              3.506
957) PAJA_GPS    66.331        0.006              98.506              4.801
958) WILD_GPS    66.147        0.006              98.512              2.594
959) P436_PBO    65.967        0.006              98.519              3.821
960) L387_GPS    65.931        0.006              98.525              3.035
961) CC25_GPS    65.926        0.006              98.531              2.729
962) MOND_GPS    65.700        0.006              98.537              4.221
963) B737_GPS    65.663        0.006              98.543              4.175
964) P039_PBO    65.617        0.006              98.550              3.544
965) HAFF_GPS    65.497        0.006              98.556              2.510
966) 10BB_GPS    65.355        0.006              98.562              3.499
967) CNWY_GPS    65.325        0.006              98.568              4.005
968) P249_PBO    64.976        0.006              98.574              4.847
969) F760_GPS    64.955        0.006              98.581              1.816
970) P689_PBO    64.510        0.006              98.587              3.972
971) VANC_GPS    64.272        0.006              98.593              6.006
972) G370_GPS    64.220        0.006              98.599              2.631
973) 74LR_GPS    63.303        0.006              98.605              3.715
974) SHEL_GPS    63.271        0.006              98.611              4.605
975) YUMA_GPS    63.154        0.006              98.617              6.239
976) HELI_GPS    62.918        0.006              98.623              3.753
977) PERR_GPS    62.908        0.006              98.629              13.430
978) P360_PBO    62.863        0.006              98.635              5.024
979) G118_GPS    62.647        0.006              98.641              2.609
980) ROBI_GPS    62.361        0.006              98.647              4.343
981) LUMP_GPS    62.193        0.006              98.652              2.823
982) SENT_GPS    61.831        0.006              98.658              5.069
983) P188_PBO    61.753        0.006              98.664              14.055
984) ALEX_GPS    61.571        0.006              98.670              4.387
985) MINN_GPS    61.281        0.006              98.676              6.082
986) V357_GPS    61.200        0.006              98.682              2.103
987) P374_PBO    60.979        0.006              98.687              4.903
988) P285_PBO    60.936        0.006              98.693              7.080
989) C240_GPS    60.638        0.006              98.699              4.630
990) ADIN_GPS    60.535        0.006              98.705              3.958
991) THU3_PBO    60.467        0.006              98.710              1.927
992) P165_PBO    59.555        0.006              98.716              8.907
993) AB44_PBO    59.486        0.006              98.722              5.015
994) LOOP_GPS    59.290        0.006              98.727              5.064
995) RMD1_GPS    59.275        0.006              98.733              14.049
996) 02EX_GPS    59.203        0.006              98.738              3.796
997) P294_PBO    59.037        0.006              98.744              4.291
998) 3188_GPS    59.024        0.006              98.750              4.648
999) B317_GPS    58.969        0.006              98.755              3.015
1000) H111_GPS    58.912        0.006              98.761              7.026
1001) WHD1_GPS    58.788        0.006              98.766              3.755
1002) LUCK_GPS    58.695        0.006              98.772              2.239
1003) BULC_GPS    58.547        0.006              98.777              2.577
1004) 0605_GPS    58.424        0.006              98.783              5.550
1005) N125_GPS    58.366        0.006              98.789              9.233
1006) DRYX_GPS    58.350        0.006              98.794              2.267
1007) ANNA_GPS    58.245        0.006              98.800              3.666
1008) 4S9B_GPS    57.987        0.005              98.805              1.985
1009) P412_PBO    57.933        0.005              98.811              1.982
1010) B112_GPS    57.726        0.005              98.816              1.786
1011) AURO_GPS    57.390        0.005              98.821              1.110
1012) CALV_GPS    57.387        0.005              98.827              4.825
1013) B270_GPS    57.370        0.005              98.832              3.944
1014) SEYM_GPS    57.267        0.005              98.838              3.532
1015) 1008_GPS    57.228        0.005              98.843              3.580
1016) SMEL_GPS    57.068        0.005              98.849              2.750
1017) E100_GPS    56.959        0.005              98.854              4.090
1018) LUCA_GPS    56.542        0.005              98.859              5.780
1019) CLGO_PBO    56.487        0.005              98.865              6.603
1020) BISC_GPS    56.183        0.005              98.870              4.807
1021) JONY_GPS    56.137        0.005              98.875              3.919
1022) BCHD_GPS    55.916        0.005              98.881              4.373
1023) P435_PBO    55.905        0.005              98.886              5.002
1024) P398_PBO    55.741        0.005              98.891              7.571
1025) E300_GPS    55.558        0.005              98.897              4.562
1026) E843_GPS    55.395        0.005              98.902              3.503
1027) COLR_GPS    55.394        0.005              98.907              3.454
1028) P206_PBO    55.369        0.005              98.912              6.818
1029) 0607_GPS    55.366        0.005              98.917              2.839
1030) SKIL_GPS    55.288        0.005              98.923              1.536
1031) P021_PBO    55.162        0.005              98.928              4.704
1032) BBID_PBO    55.110        0.005              98.933              5.291
1033) P140_PBO    55.051        0.005              98.938              6.822
1034) PRAI_GPS    55.035        0.005              98.944              5.906
1035) JRDR_GPS    54.968        0.005              98.949              5.574
1036) P405_PBO    54.355        0.005              98.954              6.201
1037) P306_PBO    54.340        0.005              98.959              5.908
1038) CEDR_GPS    54.250        0.005              98.964              3.548
1039) AB49_PBO    53.711        0.005              98.969              4.995
1040) E200_GPS    53.344        0.005              98.974              3.618
1041) N843_GPS    53.342        0.005              98.979              3.349
1042) AV08_PBO    53.342        0.005              98.984              10.219
1043) P041_PBO    53.266        0.005              98.990              1.995
1044) CLAT_GPS    53.100        0.005              98.995              4.586
1045) AV14_PBO    52.925        0.005              99.000              13.139
1046) FALL_GPS    52.445        0.005              99.005              2.896
1047) COEU_GPS    52.400        0.005              99.010              3.614
1048) C280_GPS    52.362        0.005              99.014              5.326
1049) AB21_PBO    52.114        0.005              99.019              11.333
1050) ALKA_GPS    51.975        0.005              99.024              1.927
1051) BATT_GPS    51.928        0.005              99.029              3.812
1052) P035_PBO    51.284        0.005              99.034              3.552
1053) HSTN_GPS    50.755        0.005              99.039              2.714
